# id	distro	package_target	format	image_url	checksum_algorithm	checksum	ssh_port	firmware
ubuntu-24.04	Ubuntu 24.04 LTS	ubuntu-24.04	deb	https://cloud-images.ubuntu.com/releases/server/24.04/release/ubuntu-24.04-server-cloudimg-amd64.img	sha256	d0fe84bb5f80853425fa6be28e2c106f30104c3cfe8611933f2e65c9b63f0e30	2261	bios
debian-13	Debian 13 stable	debian-13	deb	https://cloud.debian.org/images/cloud/trixie/latest/debian-13-genericcloud-amd64.qcow2	sha512	184761b0dad0f9ace02f9298050ca96ce3caa39a461a47706d47ff9698b59933918b91b40177fbd4d392f6446af8b4d18ecb94caca988169b19641606bf34003	2262	bios
fedora-44	Fedora Cloud 44	fedora-44	rpm	https://download.fedoraproject.org/pub/fedora/linux/releases/44/Cloud/x86_64/images/Fedora-Cloud-Base-Generic-44-1.7.x86_64.qcow2	sha256	28680fe5b371a5a82ebf43a31926e086a168e59949d03969c5093e7071f90b7f	2263	bios
opensuse-tumbleweed	openSUSE Tumbleweed	opensuse-tumbleweed	rpm	https://download.opensuse.org/tumbleweed/appliances/openSUSE-Tumbleweed-Minimal-VM.x86_64-Cloud.qcow2	sha256	e80d2d1f9cfb328c79a5031d6a30f9744ec83824f6ba44c41ce831ff829a5dad	2264	bios
